"Movie","Genre","Studio","Score","Year","Rating","Popular","Summary"
"500 Days of Summer","Comedy","Fox","81","2009","PG-13","N","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her."
"27 Dresses","Comedy","Fox","71","2008","PG-13","N","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with."
"A Dangerous Method","Drama","Independent","89","2011","R","N","A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis."
"A Serious Man","Drama","Universal","64","2009","R","N","Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking."
"Across the Universe","Romance","Independent","84","2007","PG-13","N","The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist."
"Beginners","Comedy","Independent","80","2011","R","N","A young man is rocked by two announcements from his elderly father: that he has terminal cancer and that he has a young male lover."
"Dear John","Drama","Sony","66","2010","PG-13","Y","A romantic drama about a soldier who falls for a conservative college student while he's home on leave."
"Enchanted","Comedy","Disney","80","2007","PG","Y","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer."
"Fireproof","Drama","Independent","51","2008","PG","N","In an attempt to save his marriage, a firefighter uses a 40-day experiment known as ""The Love Dare."""
"Four Christmases","Comedy","Warner Bros.","52","2008","PG-13","N","A couple struggles to visit all four of their divorced parents on Christmas."
"Ghosts of Girlfriends Past","Comedy","Warner Bros.","47","2009","PG-13","N","While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends."
"Gnomeo and Juliet","Animation","Disney","52","2011","G","N","Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?"
"Going the Distance","Comedy","Warner Bros.","56","2010","R","Y","A romantic comedy centered on a guy and a gal who try to keep their love alive as they shuttle back and forth between New York and San Francisco to see one another."
"Good Luck Chuck","Comedy","Lionsgate","61","2007","R","N","In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true love."
"He's Just Not That Into You","Comedy","Warner Bros.","60","2009","PG-13","N","This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior."
"High School Musical 3: Senior Year","Comedy","Disney","76","2008","G","Y","As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future."
